SEASON,BASIN,NATURE,LAT,LON,WIND,DIST2LAND,STORM_SPEED,STORM_DIR,TD9636_STAGE
Summer,SI,TS,-13.6,120.2,40.0,370,7.0,210.0,1.0
Summer,SI,TS,-13.9,120.0,40.0,406,7.0,210.0,1.0
Summer,SI,TS,-14.2,119.8,40.0,418,6.0,210.0,1.0
Summer,SI,TS,-14.4,119.7,40.0,410,4.0,210.0,1.0
Summer,SI,TS,-14.6,119.6,40.0,402,3.0,195.0,2.0
Summer,SI,TS,-14.7,119.6,40.0,394,1.0,155.0,2.0
Summer,SI,TS,-14.7,119.7,40.0,386,1.0,155.0,2.0
Summer,SI,TS,-14.8,119.7,40.0,378,1.0,200.0,2.0
Summer,SI,TS,-14.8,119.6,40.0,386,2.0,210.0,2.0
Summer,SI,TS,-14.9,119.6,40.0,379,2.0,215.0,2.0
Summer,SI,TS,-15.0,119.5,40.0,380,2.0,230.0,2.0
Summer,SI,TS,-15.0,119.4,43.0,389,3.0,255.0,2.0
Summer,SI,TS,-15.1,119.2,45.0,399,4.0,270.0,2.0
Summer,SI,TS,-15.0,119.0,45.0,423,4.0,280.0,2.0
Summer,SI,TS,-15.0,118.8,45.0,441,4.0,280.0,2.0
Summer,SI,TS,-15.0,118.6,48.0,460,3.0,285.0,2.0
Summer,SI,TS,-14.9,118.4,50.0,484,2.0,290.0,2.0
Summer,SI,TS,-14.9,118.4,50.0,484,1.0,340.0,2.0
Summer,SI,TS,-14.9,118.4,50.0,484,1.0,0.0,2.0
Summer,SI,TS,-14.8,118.4,53.0,490,0.0,0.0,2.0
Summer,SI,TS,-14.9,118.4,55.0,484,2.0,195.0,2.0
Summer,SI,TS,-15.1,118.4,55.0,473,5.0,190.0,2.0
Summer,SI,TS,-15.3,118.3,55.0,472,6.0,185.0,2.0
Summer,SI,TS,-15.7,118.3,58.0,452,7.0,180.0,2.0
Summer,SI,TS,-16.0,118.3,60.0,440,7.0,175.0,2.0
Summer,SI,TS,-16.3,118.4,60.0,419,7.0,170.0,2.0
Summer,SI,TS,-16.7,118.4,60.0,387,7.0,165.0,2.0
Summer,SI,TS,-17.0,118.5,63.0,352,7.0,165.0,2.0
Summer,SI,TS,-17.4,118.6,65.0,306,6.0,170.0,2.0
Summer,SI,TS,-17.6,118.6,68.0,284,4.0,0.0,2.0
Summer,SI,TS,-17.8,118.6,70.0,262,4.0,0.0,2.0
Summer,SI,TS,-18.0,118.6,73.0,240,4.0,175.0,2.0
Summer,SI,TS,-18.2,118.7,75.0,216,4.0,160.0,4.0
Summer,SI,TS,-18.4,118.8,83.0,192,5.0,150.0,4.0
Summer,SI,TS,-18.6,118.9,90.0,169,5.0,150.0,4.0
Summer,SI,TS,-18.7,119.0,95.0,156,4.0,150.0,4.0
Summer,SI,TS,-18.9,119.1,100.0,134,4.0,155.0,4.0
Summer,SI,TS,-19.1,119.2,100.0,111,4.0,160.0,4.0
Summer,SI,TS,-19.3,119.3,100.0,89,4.0,165.0,4.0
Summer,SI,TS,-19.5,119.3,95.0,67,3.0,165.0,4.0
Summer,SI,TS,-19.7,119.4,90.0,44,3.0,150.0,4.0
Summer,SI,TS,-19.7,119.5,83.0,44,2.0,125.0,4.0
Summer,SI,TS,-19.8,119.6,75.0,30,2.0,110.0,4.0
Summer,SI,TS,-19.8,119.7,68.0,24,2.0,120.0,4.0
Summer,SI,TS,-19.9,119.7,60.0,15,3.0,155.0,4.0
Summer,SI,TS,-20.0,119.8,55.0,0,4.0,160.0,4.0
Summer,SI,TS,-20.1,119.8,53.0,0,5.0,170.0,4.0
Summer,SI,TS,-20.3,119.8,45.0,0,5.0,175.0,4.0
Summer,SI,TS,-20.6,119.8,38.0,0,6.0,190.0,4.0
Summer,SI,TS,-20.9,119.7,30.0,0,7.0,210.0,2.0
Summer,SI,TS,-21.2,119.5,53.0,0,10.0,225.0,2.0
Summer,SI,TS,-21.5,119.0,45.0,0,12.0,235.0,2.0
